RA_COD,RA_NOME,CLUSTER,CLUSTER_NOME
1,Brasília (Plano Piloto),1,Brasília Central
2,Gama,2,RAs Consolidadas
3,Taguatinga,2,RAs Consolidadas
4,Brazlândia,2,RAs Consolidadas
5,Sobradinho,2,RAs Consolidadas
6,Planaltina,3,RAs em Movimento
7,Paranoá,3,RAs em Movimento
8,Núcleo Bandeirante,2,RAs Consolidadas
9,Ceilândia,2,RAs Consolidadas
10,Guará,1,Brasília Central
11,Cruzeiro,1,Brasília Central
12,Samambaia,2,RAs Consolidadas
13,Santa Maria,0,RAs em Dinamização
14,São Sebastião,3,RAs em Movimento
15,Recanto das Emas,2,RAs Consolidadas
16,Lago Sul,1,Brasília Central
17,Riacho Fundo,2,RAs Consolidadas
18,Lago Norte,1,Brasília Central
19,Candangolândia,2,RAs Consolidadas
20,Águas Claras,1,Brasília Central
21,Riacho Fundo II,2,RAs Consolidadas
22,Sudoeste/Octogonal,1,Brasília Central
23,Varjão,3,RAs em Movimento
24,Park Way,1,Brasília Central
25,SCIA/Estrutural,3,RAs em Movimento
26,Sobradinho II,2,RAs Consolidadas
27,Jardim Botânico,1,Brasília Central
28,Itapoã,3,RAs em Movimento
29,SIA,1,Brasília Central
30,Vicente Pires,2,RAs Consolidadas
31,Fercal,3,RAs em Movimento
32,Sol Nascente/Pôr do Sol,3,RAs em Movimento
33,Arniqueira,2,RAs Consolidadas
