VAR_PDAD,VAR_ALVO,CORRELACAO,N
MOR_pct_privado,TSE_DEPUTADO_DISTRITAL_total_votos,0.1841,28
MOR_pct_privado,TSE_SENADOR_total_votos,0.1841,28
MOR_pct_privado,TSE_GOVERNADOR_total_votos,0.1841,28
MOR_pct_privado,TSE_DEPUTADO_FEDERAL_total_votos,0.1841,28
MOR_pct_conta_propria,TSE_DEPUTADO_DISTRITAL_total_votos,-0.1629,28
MOR_pct_conta_propria,TSE_SENADOR_total_votos,-0.1629,28
MOR_pct_conta_propria,TSE_GOVERNADOR_total_votos,-0.1629,28
MOR_pct_conta_propria,TSE_DEPUTADO_FEDERAL_total_votos,-0.1629,28
MOR_renda_ind_media,TSE_GOVERNADOR_total_votos,-0.1006,13
MOR_renda_ind_media,TSE_DEPUTADO_FEDERAL_total_votos,-0.1006,13
MOR_renda_ind_media,TSE_DEPUTADO_DISTRITAL_total_votos,-0.1006,13
MOR_renda_ind_media,TSE_SENADOR_total_votos,-0.1006,13
DOM_pct_classe_AB,TSE_DEPUTADO_DISTRITAL_total_votos,-0.0877,28
DOM_pct_classe_AB,TSE_DEPUTADO_FEDERAL_total_votos,-0.0877,28
DOM_pct_classe_AB,TSE_GOVERNADOR_total_votos,-0.0877,28
DOM_pct_classe_AB,TSE_SENADOR_total_votos,-0.0877,28
DOM_renda_pc_media,TSE_DEPUTADO_DISTRITAL_total_votos,-0.0751,28
DOM_renda_pc_media,TSE_DEPUTADO_FEDERAL_total_votos,-0.0751,28
DOM_renda_pc_media,TSE_GOVERNADOR_total_votos,-0.0751,28
DOM_renda_pc_media,TSE_SENADOR_total_votos,-0.0751,28
DOM_pct_inseg_alimentar,TSE_DEPUTADO_FEDERAL_total_votos,0.0659,28
DOM_pct_inseg_alimentar,TSE_DEPUTADO_DISTRITAL_total_votos,0.0659,28
DOM_pct_inseg_alimentar,TSE_GOVERNADOR_total_votos,0.0659,28
DOM_pct_inseg_alimentar,TSE_SENADOR_total_votos,0.0659,28
MOR_pct_beneficio_social,TSE_GOVERNADOR_total_votos,0.065,28
MOR_pct_beneficio_social,TSE_SENADOR_total_votos,0.065,28
MOR_pct_beneficio_social,TSE_DEPUTADO_DISTRITAL_total_votos,0.065,28
MOR_pct_beneficio_social,TSE_DEPUTADO_FEDERAL_total_votos,0.065,28
DOM_pct_classe_DE,TSE_SENADOR_total_votos,-0.0499,28
DOM_pct_classe_DE,TSE_GOVERNADOR_total_votos,-0.0499,28
DOM_pct_classe_DE,TSE_DEPUTADO_FEDERAL_total_votos,-0.0499,28
DOM_pct_classe_DE,TSE_DEPUTADO_DISTRITAL_total_votos,-0.0499,28
MOR_pct_nativo_df,TSE_GOVERNADOR_total_votos,0.0493,28
MOR_pct_nativo_df,TSE_DEPUTADO_FEDERAL_total_votos,0.0493,28
MOR_pct_nativo_df,TSE_DEPUTADO_DISTRITAL_total_votos,0.0493,28
MOR_pct_nativo_df,TSE_SENADOR_total_votos,0.0493,28
MOR_pct_superior,TSE_DEPUTADO_DISTRITAL_total_votos,-0.0478,28
MOR_pct_superior,TSE_DEPUTADO_FEDERAL_total_votos,-0.0478,28
MOR_pct_superior,TSE_GOVERNADOR_total_votos,-0.0478,28
MOR_pct_superior,TSE_SENADOR_total_votos,-0.0478,28
MOR_pct_plano_saude,TSE_GOVERNADOR_total_votos,-0.0423,28
MOR_pct_plano_saude,TSE_SENADOR_total_votos,-0.0423,28
MOR_pct_plano_saude,TSE_DEPUTADO_DISTRITAL_total_votos,-0.0423,28
MOR_pct_plano_saude,TSE_DEPUTADO_FEDERAL_total_votos,-0.0423,28
MOR_pct_servidor_total,TSE_DEPUTADO_FEDERAL_total_votos,-0.0351,28
MOR_pct_servidor_total,TSE_SENADOR_total_votos,-0.0351,28
MOR_pct_servidor_total,TSE_DEPUTADO_DISTRITAL_total_votos,-0.0351,28
MOR_pct_servidor_total,TSE_GOVERNADOR_total_votos,-0.0351,28
MOR_pct_servidor_fed,TSE_DEPUTADO_FEDERAL_total_votos,-0.0347,28
MOR_pct_servidor_fed,TSE_DEPUTADO_DISTRITAL_total_votos,-0.0347,28
MOR_pct_servidor_fed,TSE_GOVERNADOR_total_votos,-0.0347,28
MOR_pct_servidor_fed,TSE_SENADOR_total_votos,-0.0347,28
MOR_pct_sem_fund,TSE_SENADOR_total_votos,0.0214,28
MOR_pct_sem_fund,TSE_DEPUTADO_FEDERAL_total_votos,0.0214,28
MOR_pct_sem_fund,TSE_DEPUTADO_DISTRITAL_total_votos,0.0214,28
MOR_pct_sem_fund,TSE_GOVERNADOR_total_votos,0.0214,28
