RA_COD,RA_NOME,CLUSTER,CARGO,PERFIL,PERFIL_DESC,IPE,SCORE_AFINIDADE,SCORE_CONVERSAO,SCORE_MASSA,SCORE_LOGISTICA,SCORE_PDAD,SCORE_REAL
1,Brasília (Plano Piloto),Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,6.58,10.0,0.0,6.4,0.95,8.72,10.0
2,Gama,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,7.49,6.25,6.06,4.13,2.18,4.07,7.0
3,Taguatinga,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,9.37,6.14,7.57,7.35,0.37,4.5,6.6
4,Brazlândia,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,6.02,4.77,6.23,1.19,3.99,2.8,5.5
5,Sobradinho,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,7.47,6.74,6.08,3.48,2.69,4.69,7.38
6,Planaltina,RAs em Movimento,GOVERNADOR,progressista,Candidatura progressista / campo popular,5.29,4.99,2.49,4.45,1.78,1.45,6.54
7,Paranoá,RAs em Movimento,GOVERNADOR,progressista,Candidatura progressista / campo popular,4.58,4.72,2.84,1.91,3.97,1.48,6.13
8,Núcleo Bandeirante,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,6.41,6.41,5.21,1.34,5.71,3.92,7.31
9,Ceilândia,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,8.06,5.03,3.63,10.0,0.0,1.99,6.32
10,Guará,Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,7.23,7.78,4.78,3.62,2.57,5.77,8.32
11,Cruzeiro,Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,7.48,8.39,6.08,1.17,5.56,7.4,8.34
12,Samambaia,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,7.69,4.9,6.65,5.28,1.43,3.03,5.56
13,Santa Maria,RAs em Dinamização,GOVERNADOR,progressista,Candidatura progressista / campo popular,8.15,6.09,8.23,2.93,3.11,4.66,6.44
14,São Sebastião,RAs em Movimento,GOVERNADOR,progressista,Candidatura progressista / campo popular,3.99,5.59,1.04,2.05,3.57,0.92,7.72
15,Recanto das Emas,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,4.07,3.83,1.89,2.78,3.38,0.8,5.2
16,Lago Sul,Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,9.77,9.1,10.0,1.37,5.2,10.0,7.98
17,Riacho Fundo,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,7.18,5.42,7.57,1.07,6.0,3.76,5.94
18,Lago Norte,Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,6.12,9.39,2.44,1.0,7.0,8.16,9.4
19,Candangolândia,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,7.05,5.69,7.17,0.47,7.61,3.88,6.27
20,Águas Claras,Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,10.0,8.96,9.27,3.41,3.55,9.52,8.03
21,Riacho Fundo II,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,6.12,4.88,5.98,1.04,5.71,2.79,5.67
22,Sudoeste/Octogonal,Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,6.97,9.56,3.97,1.05,6.85,9.16,9.12
23,Varjão,RAs em Movimento,GOVERNADOR,progressista,Candidatura progressista / campo popular,4.45,4.99,2.19,0.14,10.0,1.31,6.62
24,Park Way,Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,1.16,3.19,0.0,0.0,0.0,8.7,0.0
25,SCIA/Estrutural,RAs em Movimento,GOVERNADOR,progressista,Candidatura progressista / campo popular,2.61,3.28,0.17,0.65,7.18,0.07,4.78
26,Sobradinho II,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,6.55,5.66,6.08,0.94,6.67,3.46,6.45
27,Jardim Botânico,Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,6.3,9.3,2.83,0.44,8.75,8.12,9.29
28,Itapoã,RAs em Movimento,GOVERNADOR,progressista,Candidatura progressista / campo popular,4.51,4.55,2.93,0.6,7.5,1.45,5.91
29,SIA,Brasília Central,GOVERNADOR,progressista,Candidatura progressista / campo popular,0.73,2.01,0.0,0.0,0.0,5.47,0.0
30,Vicente Pires,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,8.63,5.73,9.84,0.49,8.97,4.78,5.84
31,Fercal,RAs em Movimento,GOVERNADOR,progressista,Candidatura progressista / campo popular,0.18,0.48,0.0,0.0,0.0,1.31,0.0
32,Sol Nascente/Pôr do Sol,RAs em Movimento,GOVERNADOR,progressista,Candidatura progressista / campo popular,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,Arniqueira,RAs Consolidadas,GOVERNADOR,progressista,Candidatura progressista / campo popular,0.52,1.44,0.0,0.0,0.0,3.92,0.0
1,Brasília (Plano Piloto),Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,5.62,4.54,1.68,6.4,0.95,0.89,6.43
2,Gama,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,4.68,5.63,0.71,4.13,2.18,0.74,8.17
3,Taguatinga,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,6.18,6.36,0.79,7.35,0.37,1.4,8.92
4,Brazlândia,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,4.39,7.18,1.06,1.19,3.99,2.97,9.32
5,Sobradinho,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,5.66,6.31,2.51,3.48,2.69,2.62,8.18
6,Planaltina,RAs em Movimento,GOVERNADOR,moderado,Candidatura de centro / institucional,6.73,7.49,3.11,4.45,1.78,4.84,8.78
7,Paranoá,RAs em Movimento,GOVERNADOR,moderado,Candidatura de centro / institucional,5.71,8.13,2.26,1.91,3.97,5.77,9.25
8,Núcleo Bandeirante,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,3.91,5.69,0.57,1.34,5.71,0.65,8.32
9,Ceilândia,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,8.36,7.34,2.06,10.0,0.0,3.99,9.02
10,Guará,Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,5.8,5.67,3.13,3.62,2.57,2.28,7.4
11,Cruzeiro,Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,3.92,5.17,1.17,1.17,5.56,0.86,7.4
12,Samambaia,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,5.59,7.24,0.51,5.28,1.43,2.59,9.63
13,Santa Maria,RAs em Dinamização,GOVERNADOR,moderado,Candidatura de centro / institucional,5.33,6.73,1.92,2.93,3.11,2.84,8.71
14,São Sebastião,RAs em Movimento,GOVERNADOR,moderado,Candidatura de centro / institucional,10.0,8.7,10.0,2.05,3.57,9.65,8.03
15,Recanto das Emas,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,4.4,7.01,0.0,2.78,3.38,1.24,10.0
16,Lago Sul,Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,3.34,5.17,0.0,1.37,5.2,0.0,7.87
17,Riacho Fundo,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,4.33,6.83,0.71,1.07,6.0,1.99,9.32
18,Lago Norte,Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,3.6,4.72,0.61,1.0,7.0,0.39,6.98
19,Candangolândia,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,4.31,6.4,1.04,0.47,7.61,1.69,8.83
20,Águas Claras,Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,4.21,5.34,0.25,3.41,3.55,0.24,8.0
21,Riacho Fundo II,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,4.15,7.13,0.27,1.04,5.71,2.04,9.75
22,Sudoeste/Octogonal,Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,4.68,5.25,2.29,1.05,6.85,1.54,7.16
23,Varjão,RAs em Movimento,GOVERNADOR,moderado,Candidatura de centro / institucional,6.27,8.05,3.19,0.14,10.0,6.03,9.0
24,Park Way,Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,0.0,0.0,0.0,0.0,0.0,0.03,0.0
25,SCIA/Estrutural,RAs em Movimento,GOVERNADOR,moderado,Candidatura de centro / institucional,5.63,10.0,0.94,0.65,7.18,10.0,9.82
26,Sobradinho II,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,4.37,6.48,0.97,0.94,6.67,1.72,8.93
27,Jardim Botânico,Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,3.18,4.44,0.0,0.44,8.75,0.0,6.75
28,Itapoã,RAs em Movimento,GOVERNADOR,moderado,Candidatura de centro / institucional,5.1,7.97,1.33,0.6,7.5,4.89,9.48
29,SIA,Brasília Central,GOVERNADOR,moderado,Candidatura de centro / institucional,0.5,1.34,0.0,0.0,0.0,3.8,0.0
30,Vicente Pires,RAs Consolidadas,GOVERNADOR,moderado,Candidatura de centro / institucional,4.34,6.64,0.52,0.49,8.97,1.45,9.32
31,Fercal,RAs em Movimento,GOVERNADOR,moderado,Candidatura de centro / institucional,1.03,2.75,0.0,0.0,0.0,7.77,0.0
