VAR_PDAD,VAR_CAMPO,r,N
EL_pct_superior,PCT_SEN_moderado,0.918,33
EL_pct_sem_fund,PCT_SEN_moderado,-0.9138,33
MOR_pct_plano_saude,PCT_SEN_moderado,0.8945,33
MOR_pct_superior,PCT_SEN_moderado,0.8916,33
MOR_escolaridade_media,PCT_SEN_moderado,0.8774,33
EL_pct_superior,PCT_DEPFED_progressista,0.8773,33
MOR_pct_superior,PCT_DEPFED_progressista,0.8743,33
EL_pct_idoso_60mais,PCT_DEPFED_progressista,0.8346,33
DOM_pct_classe_AB,PCT_DEPFED_progressista,0.8346,33
DOM_pct_classe_AB,PCT_SEN_moderado,0.8344,33
MOR_escolaridade_media,PCT_DEPFED_progressista,0.8281,33
DOM_pct_inseg_alimentar,PCT_SEN_moderado,-0.8221,33
MOR_pct_sem_fund,PCT_SEN_moderado,-0.8177,33
EL_pct_superior,PCT_GOV_moderado,-0.8139,33
DOM_renda_pc_media,PCT_SEN_moderado,0.8124,33
MOR_pct_superior,PCT_GOV_moderado,-0.8104,33
EL_pct_sem_fund,PCT_DEPFED_progressista,-0.8059,33
DOM_renda_pc_media,PCT_DEPFED_progressista,0.8037,33
MOR_pct_superior,PCT_SEN_progressista,0.8037,33
DOM_pct_inseg_alimentar,PCT_DEPFED_progressista,-0.7979,33
EL_pct_superior,PCT_SEN_progressista,0.7976,33
MOR_pct_servidor_fed,PCT_GOV_moderado,-0.7956,33
MOR_pct_servidor_fed,PCT_DEPFED_progressista,0.795,33
EL_pct_jovem_1624_y,PCT_SEN_moderado,-0.7904,33
EL_pct_idoso_60mais,PCT_SEN_progressista,0.7876,33
MOR_pct_plano_saude,PCT_DEPFED_progressista,0.7856,33
DOM_pct_classe_AB,PCT_SEN_progressista,0.784,33
MOR_pct_superior,PCT_GOV_progressista,0.7821,33
DOM_pct_inseg_alimentar,PCT_GOV_moderado,0.7806,33
MOR_pct_servidor_total,PCT_SEN_moderado,0.7764,33
MOR_pct_servidor_total,PCT_GOV_moderado,-0.7753,33
DOM_renda_pc_media,PCT_SEN_progressista,0.7677,33
EL_pct_jovem_1624_y,PCT_DEPFED_progressista,-0.7662,33
EL_pct_superior,PCT_GOV_progressista,0.7655,33
EL_pct_sem_fund,PCT_GOV_liberal_conservador,-0.7654,33
DOM_pct_classe_AB,PCT_GOV_moderado,-0.7637,33
DOM_pct_classe_DE,PCT_SEN_moderado,-0.7637,33
MOR_pct_plano_saude,PCT_GOV_moderado,-0.7637,33
MOR_pct_servidor_fed,PCT_GOV_progressista,0.7625,33
MOR_pct_beneficio_social,PCT_SEN_moderado,-0.7574,33
MOR_escolaridade_media,PCT_GOV_moderado,-0.7546,33
EL_pct_idoso_60mais,PCT_GOV_progressista,0.7497,33
MOR_pct_servidor_fed,PCT_SEN_progressista,0.7494,33
MOR_pct_servidor_fed,PCT_SEN_moderado,0.7474,33
DOM_pct_classe_DE,PCT_DEPFED_progressista,-0.7455,33
EL_pct_sem_fund,PCT_GOV_moderado,0.7436,33
MOR_pct_servidor_total,PCT_GOV_liberal_conservador,0.7435,33
EL_pct_idoso_60mais,PCT_SEN_moderado,0.7421,33
MOR_pct_plano_saude,PCT_GOV_liberal_conservador,0.7417,33
DOM_pct_classe_AB,PCT_GOV_progressista,0.7405,33
MOR_pct_desocupado,PCT_SEN_moderado,-0.7389,33
MOR_pct_sem_fund,PCT_DEPFED_progressista,-0.7375,33
MOR_pct_servidor_total,PCT_DEPFED_progressista,0.7369,33
EL_pct_idoso_60mais,PCT_GOV_moderado,-0.7363,33
DOM_renda_pc_media,PCT_GOV_progressista,0.7353,33
MOR_escolaridade_media,PCT_SEN_progressista,0.7337,33
DOM_renda_pc_media,PCT_GOV_moderado,-0.7327,33
DOM_pct_inseg_alimentar,PCT_SEN_progressista,-0.7324,33
DOM_pct_inseg_alimentar,PCT_GOV_progressista,-0.7297,33
EL_pct_superior,PCT_GOV_liberal_conservador,0.7238,33
EL_pct_jovem_1624_y,PCT_GOV_moderado,0.7226,33
MOR_pct_plano_saude,PCT_SEN_progressista,0.7124,33
MOR_pct_sem_fund,PCT_GOV_liberal_conservador,-0.7102,33
EL_pct_jovem_1624_y,PCT_SEN_progressista,-0.7056,33
MOR_escolaridade_media,PCT_GOV_progressista,0.7005,33
MOR_escolaridade_media,PCT_GOV_liberal_conservador,0.7003,33
EL_pct_sem_fund,PCT_DEPFED_moderado,0.6985,33
DOM_pct_classe_DE,PCT_DEPFED_moderado,0.69,33
EL_pct_sem_fund,PCT_SEN_progressista,-0.69,33
MOR_pct_plano_saude,PCT_GOV_progressista,0.6882,33
EL_pct_jovem_1624_y,PCT_GOV_progressista,-0.6743,33
MOR_pct_servidor_total,PCT_GOV_progressista,0.6685,33
MOR_pct_servidor_total,PCT_SEN_progressista,0.6651,33
EL_pct_sem_fund,PCT_GOV_progressista,-0.6627,33
MOR_pct_beneficio_social,PCT_GOV_liberal_conservador,-0.658,33
DOM_pct_classe_DE,PCT_GOV_moderado,0.6557,33
MOR_pct_beneficio_social,PCT_DEPFED_progressista,-0.6516,33
EL_pct_idoso_60mais,PCT_SEN_liberal_conservador,-0.6474,33
DOM_pct_inseg_alimentar,PCT_GOV_liberal_conservador,-0.6465,33
EL_pct_superior,PCT_DEPFED_moderado,-0.6455,33
DOM_pct_classe_DE,PCT_SEN_progressista,-0.6443,33
MOR_pct_superior,PCT_GOV_liberal_conservador,0.6396,33
MOR_escolaridade_media,PCT_DEPFED_moderado,-0.6384,33
MOR_pct_sem_fund,PCT_GOV_moderado,0.6317,33
MOR_pct_sem_fund,PCT_SEN_progressista,-0.6299,33
MOR_pct_beneficio_social,PCT_GOV_moderado,0.6285,33
MOR_pct_servidor_dist,PCT_DEPFED_progressista,0.6272,33
MOR_pct_desocupado,PCT_GOV_liberal_conservador,-0.6261,33
EL_pct_jovem_1624_y,PCT_GOV_liberal_conservador,-0.6259,33
MOR_pct_sem_fund,PCT_DEPFED_moderado,0.6212,33
MOR_pct_servidor_total,PCT_DEPFED_moderado,-0.6209,33
DOM_pct_classe_AB,PCT_GOV_liberal_conservador,0.6172,33
MOR_pct_servidor_dist,PCT_GOV_moderado,-0.6158,33
MOR_pct_superior,PCT_DEPFED_moderado,-0.6134,33
DOM_pct_classe_AB,PCT_DEPFED_moderado,-0.6127,33
MOR_pct_plano_saude,PCT_DEPFED_moderado,-0.6108,33
DOM_pct_classe_DE,PCT_GOV_progressista,-0.6072,33
MOR_pct_superior,PCT_SEN_liberal_conservador,-0.6055,33
MOR_pct_servidor_dist,PCT_SEN_moderado,0.5999,33
MOR_pct_desocupado,PCT_GOV_moderado,0.5975,33
DOM_pct_classe_DE,PCT_GOV_liberal_conservador,-0.5958,33
DOM_pct_classe_C,PCT_SEN_progressista,-0.5927,33
MOR_pct_desocupado,PCT_DEPFED_progressista,-0.5926,33
MOR_pct_beneficio_social,PCT_DEPFED_moderado,0.5904,33
MOR_pct_servidor_dist,PCT_GOV_progressista,0.5882,33
DOM_pct_inseg_alimentar,PCT_DEPFED_moderado,0.5852,33
DOM_pct_classe_AB,PCT_SEN_liberal_conservador,-0.5852,33
MOR_pct_servidor_fed,PCT_SEN_liberal_conservador,-0.583,33
MOR_pct_crianca,PCT_DEPDIST_moderado,0.5811,33
DOM_renda_pc_media,PCT_SEN_liberal_conservador,-0.5801,33
MOR_pct_beneficio_social,PCT_SEN_progressista,-0.5779,33
MOR_pct_servidor_dist,PCT_SEN_progressista,0.5773,33
MOR_pct_servidor_fed,PCT_DEPFED_moderado,-0.5716,33
DOM_pct_classe_C,PCT_DEPFED_progressista,-0.5692,33
DOM_renda_pc_media,PCT_DEPFED_moderado,-0.5679,33
EL_pct_superior,PCT_SEN_liberal_conservador,-0.5671,33
MOR_pct_sem_fund,PCT_GOV_progressista,-0.5658,33
MOR_pct_servidor_total,PCT_DEPDIST_moderado,-0.5615,33
DOM_pct_classe_C,PCT_GOV_progressista,-0.5613,33
MOR_pct_servidor_fed,PCT_GOV_liberal_conservador,0.5528,33
DOM_pct_inseg_alimentar,PCT_SEN_liberal_conservador,0.5528,33
MOR_pct_beneficio_social,PCT_GOV_progressista,-0.5501,33
DOM_pct_classe_C,PCT_SEN_moderado,-0.55,33
DOM_pct_classe_C,PCT_GOV_moderado,0.5484,33
MOR_pct_superior,PCT_DEPDIST_moderado,-0.547,33
MOR_pct_idoso_pop,PCT_SEN_moderado,0.5467,33
MOR_escolaridade_media,PCT_DEPDIST_moderado,-0.5441,33
EL_pct_superior,PCT_DEPDIST_moderado,-0.5401,33
EL_pct_jovem_1624_y,PCT_SEN_liberal_conservador,0.533,33
MOR_pct_plano_saude,PCT_DEPDIST_moderado,-0.5295,33
DOM_renda_pc_media,PCT_GOV_liberal_conservador,0.529,33
DOM_pct_classe_DE,PCT_DEPDIST_moderado,0.5284,33
MOR_pct_sem_fund,PCT_DEPDIST_moderado,0.524,33
EL_pct_idoso_60+,PCT_SEN_moderado,0.5227,33
MOR_pct_crianca,PCT_GOV_moderado,0.5203,33
MOR_escolaridade_media,PCT_SEN_liberal_conservador,-0.5176,33
