RA_COD,RA_NOME,DS_CARGO,CAMPO,QT_VOTOS,TOTAL,PCT
1.0,Brasília (Plano Piloto),DEPUTADO_DISTRITAL,liberal_conservador,49402,150972,32.72
1.0,Brasília (Plano Piloto),DEPUTADO_DISTRITAL,moderado,25926,150972,17.17
1.0,Brasília (Plano Piloto),DEPUTADO_DISTRITAL,outros,14729,150972,9.76
1.0,Brasília (Plano Piloto),DEPUTADO_DISTRITAL,progressista,60915,150972,40.35
1.0,Brasília (Plano Piloto),DEPUTADO_FEDERAL,liberal_conservador,62262,150972,41.24
1.0,Brasília (Plano Piloto),DEPUTADO_FEDERAL,moderado,11481,150972,7.6
1.0,Brasília (Plano Piloto),DEPUTADO_FEDERAL,outros,12343,150972,8.18
1.0,Brasília (Plano Piloto),DEPUTADO_FEDERAL,progressista,64886,150972,42.98
1.0,Brasília (Plano Piloto),GOVERNADOR,liberal_conservador,18304,150972,12.12
1.0,Brasília (Plano Piloto),GOVERNADOR,moderado,60245,150972,39.9
1.0,Brasília (Plano Piloto),GOVERNADOR,outros,9230,150972,6.11
1.0,Brasília (Plano Piloto),GOVERNADOR,progressista,63193,150972,41.86
1.0,Brasília (Plano Piloto),SENADOR,liberal_conservador,84790,150972,56.16
1.0,Brasília (Plano Piloto),SENADOR,moderado,2634,150972,1.74
1.0,Brasília (Plano Piloto),SENADOR,outros,13139,150972,8.7
1.0,Brasília (Plano Piloto),SENADOR,progressista,50409,150972,33.39
2.0,Gama,DEPUTADO_DISTRITAL,liberal_conservador,39148,104759,37.37
2.0,Gama,DEPUTADO_DISTRITAL,moderado,24191,104759,23.09
2.0,Gama,DEPUTADO_DISTRITAL,outros,11267,104759,10.76
2.0,Gama,DEPUTADO_DISTRITAL,progressista,30153,104759,28.78
2.0,Gama,DEPUTADO_FEDERAL,liberal_conservador,46975,104759,44.84
2.0,Gama,DEPUTADO_FEDERAL,moderado,16266,104759,15.53
2.0,Gama,DEPUTADO_FEDERAL,outros,13700,104759,13.08
2.0,Gama,DEPUTADO_FEDERAL,progressista,27818,104759,26.55
2.0,Gama,GOVERNADOR,liberal_conservador,10520,104759,10.04
2.0,Gama,GOVERNADOR,moderado,53509,104759,51.08
2.0,Gama,GOVERNADOR,outros,10273,104759,9.81
2.0,Gama,GOVERNADOR,progressista,30457,104759,29.07
2.0,Gama,SENADOR,liberal_conservador,66677,104759,63.65
2.0,Gama,SENADOR,moderado,1202,104759,1.15
2.0,Gama,SENADOR,outros,14070,104759,13.43
2.0,Gama,SENADOR,progressista,22810,104759,21.77
3.0,Taguatinga,DEPUTADO_DISTRITAL,liberal_conservador,56636,177559,31.9
3.0,Taguatinga,DEPUTADO_DISTRITAL,moderado,49736,177559,28.01
3.0,Taguatinga,DEPUTADO_DISTRITAL,outros,20650,177559,11.63
3.0,Taguatinga,DEPUTADO_DISTRITAL,progressista,50537,177559,28.46
3.0,Taguatinga,DEPUTADO_FEDERAL,liberal_conservador,82597,177559,46.52
3.0,Taguatinga,DEPUTADO_FEDERAL,moderado,21603,177559,12.17
3.0,Taguatinga,DEPUTADO_FEDERAL,outros,18697,177559,10.53
3.0,Taguatinga,DEPUTADO_FEDERAL,progressista,54662,177559,30.79
3.0,Taguatinga,GOVERNADOR,liberal_conservador,16421,177559,9.25
3.0,Taguatinga,GOVERNADOR,moderado,98009,177559,55.2
3.0,Taguatinga,GOVERNADOR,outros,13233,177559,7.45
3.0,Taguatinga,GOVERNADOR,progressista,49896,177559,28.1
3.0,Taguatinga,SENADOR,liberal_conservador,114557,177559,64.52
3.0,Taguatinga,SENADOR,moderado,2532,177559,1.43
3.0,Taguatinga,SENADOR,outros,20387,177559,11.48
3.0,Taguatinga,SENADOR,progressista,40083,177559,22.57
4.0,Brazlândia,DEPUTADO_DISTRITAL,liberal_conservador,11820,40951,28.86
4.0,Brazlândia,DEPUTADO_DISTRITAL,moderado,16740,40951,40.88
4.0,Brazlândia,DEPUTADO_DISTRITAL,outros,4458,40951,10.89
