NM_CANDIDATO,DS_CARGO,CAMPO,SG_PARTIDO,RA_NOME,QT_VOTOS_RA,PCT_DO_CARGO,PCT_DO_CAMPO,TOTAL_CAND,INDICE_SOBRE,STATUS_BASE
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Brasília (Plano Piloto),12008,8.5,20.94,51781,2.532,REDUTO
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Brazlândia,275,1.0,5.45,51781,0.176,AUSENCIA
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Candangolândia,302,2.78,15.24,51781,0.729,BASE FRACA
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Ceilândia,3308,1.47,5.95,51781,0.493,AUSENCIA
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Cruzeiro,1456,5.55,18.2,51781,1.662,REDUTO
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Gama,1978,2.14,9.18,51781,0.656,AUSENCIA
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Guará,4209,5.25,16.36,51781,1.608,REDUTO
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Itapoã,244,1.76,10.67,51781,0.566,AUSENCIA
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Jardim Botânico,565,5.71,15.73,51781,2.072,REDUTO
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Lago Norte,1590,7.11,19.46,51781,3.072,REDUTO
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Lago Sul,1845,6.0,18.4,51781,1.845,REDUTO
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Núcleo Bandeirante,1203,3.97,15.3,51781,1.451,REDUTO
FÁBIO FELIX SILVEIRA,DEPUTADO_DISTRITAL,progressista,PSOL,Paranoá,919,2.03,12.1,51781,0.586,AUSENCIA
